Next Week,Weekday,Item Name,Forecast,Forecast Lower,Forecast Upper
2025-03-21,Friday,Add Cheese,-13.0,-13.0,-13.0
2025-03-22,Saturday,Add Cheese,-22.0,-22.0,-22.0
2025-03-23,Sunday,Add Cheese,-6.0,-6.0,-6.0
2025-03-24,Monday,Add Cheese,-13.0,-13.0,-13.0
2025-03-25,Tuesday,Add Cheese,-22.0,-22.0,-22.0
2025-03-26,Wednesday,Add Cheese,-5.0,-5.0,-5.0
2025-03-27,Thursday,Add Cheese,-9.0,-9.0,-9.0
2025-03-21,Friday,Almond Croissant,4.0,2.0,5.0
2025-03-22,Saturday,Almond Croissant,4.0,2.0,5.0
2025-03-23,Sunday,Almond Croissant,3.0,1.0,4.0
2025-03-24,Monday,Almond Croissant,3.0,2.0,5.0
2025-03-25,Tuesday,Almond Croissant,3.0,2.0,5.0
2025-03-26,Wednesday,Almond Croissant,4.0,3.0,5.0
2025-03-27,Thursday,Almond Croissant,4.0,2.0,5.0
2025-03-21,Friday,Americano,20.0,13.0,26.0
2025-03-22,Saturday,Americano,17.0,10.0,24.0
2025-03-23,Sunday,Americano,13.0,6.0,20.0
2025-03-24,Monday,Americano,17.0,11.0,24.0
2025-03-25,Tuesday,Americano,16.0,9.0,22.0
2025-03-26,Wednesday,Americano,19.0,13.0,25.0
2025-03-27,Thursday,Americano,19.0,13.0,26.0
2025-03-21,Friday,Apple Juice,2.0,1.0,3.0
2025-03-22,Saturday,Apple Juice,2.0,1.0,3.0
2025-03-23,Sunday,Apple Juice,2.0,1.0,3.0
2025-03-24,Monday,Apple Juice,2.0,1.0,3.0
2025-03-25,Tuesday,Apple Juice,2.0,1.0,3.0
2025-03-26,Wednesday,Apple Juice,2.0,1.0,3.0
2025-03-27,Thursday,Apple Juice,2.0,1.0,3.0
2025-03-21,Friday,Babyccino,2.0,1.0,4.0
2025-03-22,Saturday,Babyccino,2.0,1.0,4.0
2025-03-23,Sunday,Babyccino,2.0,0.0,4.0
2025-03-24,Monday,Babyccino,3.0,1.0,4.0
2025-03-25,Tuesday,Babyccino,3.0,1.0,4.0
2025-03-26,Wednesday,Babyccino,3.0,1.0,4.0
2025-03-27,Thursday,Babyccino,2.0,0.0,4.0
2025-03-21,Friday,Bakewell,3.0,2.0,5.0
2025-03-22,Saturday,Bakewell,3.0,1.0,5.0
2025-03-23,Sunday,Bakewell,3.0,1.0,5.0
2025-03-24,Monday,Bakewell,3.0,2.0,5.0
2025-03-25,Tuesday,Bakewell,3.0,1.0,5.0
2025-03-26,Wednesday,Bakewell,4.0,2.0,6.0
2025-03-27,Thursday,Bakewell,4.0,2.0,5.0
2025-03-21,Friday,Beetroot hummus and roasted veggies Focaccia,2.0,1.0,4.0
2025-03-22,Saturday,Beetroot hummus and roasted veggies Focaccia,2.0,1.0,4.0
2025-03-23,Sunday,Beetroot hummus and roasted veggies Focaccia,2.0,1.0,3.0
2025-03-24,Monday,Beetroot hummus and roasted veggies Focaccia,3.0,1.0,4.0
2025-03-25,Tuesday,Beetroot hummus and roasted veggies Focaccia,3.0,1.0,4.0
2025-03-26,Wednesday,Beetroot hummus and roasted veggies Focaccia,3.0,1.0,4.0
2025-03-27,Thursday,Beetroot hummus and roasted veggies Focaccia,2.0,1.0,4.0
2025-03-21,Friday,Brownie,4.0,2.0,5.0
2025-03-22,Saturday,Brownie,3.0,2.0,5.0
2025-03-23,Sunday,Brownie,4.0,2.0,6.0
2025-03-24,Monday,Brownie,3.0,1.0,5.0
2025-03-25,Tuesday,Brownie,4.0,2.0,5.0
2025-03-26,Wednesday,Brownie,5.0,3.0,6.0
2025-03-27,Thursday,Brownie,4.0,2.0,5.0
2025-03-21,Friday,CRISPS,18.0,18.0,18.0
2025-03-22,Saturday,CRISPS,11.0,11.0,11.0
2025-03-23,Sunday,CRISPS,7.0,7.0,7.0
2025-03-24,Monday,CRISPS,8.0,8.0,8.0
2025-03-25,Tuesday,CRISPS,5.0,5.0,5.0
2025-03-26,Wednesday,CRISPS,17.0,17.0,17.0
2025-03-27,Thursday,CRISPS,40.0,40.0,40.0
2025-03-21,Friday,CakePot,1.0,1.0,1.0
2025-03-22,Saturday,CakePot,1.0,1.0,1.0
2025-03-23,Sunday,CakePot,1.0,1.0,1.0
2025-03-24,Monday,CakePot,1.0,1.0,1.0
2025-03-25,Tuesday,CakePot,1.0,1.0,1.0
2025-03-26,Wednesday,CakePot,1.0,1.0,1.0
2025-03-27,Thursday,CakePot,1.0,1.0,1.0
2025-03-21,Friday,Cappuccino,11.0,7.0,16.0
2025-03-22,Saturday,Cappuccino,9.0,4.0,13.0
2025-03-23,Sunday,Cappuccino,7.0,2.0,11.0
2025-03-24,Monday,Cappuccino,11.0,7.0,16.0
2025-03-25,Tuesday,Cappuccino,9.0,4.0,13.0
2025-03-26,Wednesday,Cappuccino,10.0,5.0,14.0
2025-03-27,Thursday,Cappuccino,11.0,6.0,15.0
2025-03-21,Friday,Carrot Cake,3.0,1.0,5.0
2025-03-22,Saturday,Carrot Cake,3.0,1.0,5.0
2025-03-23,Sunday,Carrot Cake,3.0,1.0,5.0
2025-03-24,Monday,Carrot Cake,3.0,2.0,5.0
2025-03-25,Tuesday,Carrot Cake,3.0,2.0,5.0
2025-03-26,Wednesday,Carrot Cake,4.0,2.0,6.0
2025-03-27,Thursday,Carrot Cake,4.0,2.0,6.0
2025-03-21,Friday,Chai Latte,2.0,1.0,3.0
2025-03-22,Saturday,Chai Latte,2.0,0.0,3.0
2025-03-23,Sunday,Chai Latte,1.0,0.0,2.0
2025-03-24,Monday,Chai Latte,2.0,1.0,3.0
2025-03-25,Tuesday,Chai Latte,1.0,0.0,3.0
2025-03-26,Wednesday,Chai Latte,2.0,1.0,3.0
2025-03-27,Thursday,Chai Latte,2.0,1.0,3.0
2025-03-21,Friday,Cheese & Ham Toastie,3.0,1.0,6.0
2025-03-22,Saturday,Cheese & Ham Toastie,3.0,0.0,6.0
2025-03-23,Sunday,Cheese & Ham Toastie,3.0,0.0,6.0
2025-03-24,Monday,Cheese & Ham Toastie,3.0,0.0,6.0
2025-03-25,Tuesday,Cheese & Ham Toastie,4.0,1.0,7.0
2025-03-26,Wednesday,Cheese & Ham Toastie,5.0,2.0,7.0
2025-03-27,Thursday,Cheese & Ham Toastie,3.0,1.0,6.0
2025-03-21,Friday,Cheese & Pickle Toastie,4.0,1.0,7.0
2025-03-22,Saturday,Cheese & Pickle Toastie,3.0,-0.0,6.0
2025-03-23,Sunday,Cheese & Pickle Toastie,3.0,0.0,6.0
2025-03-24,Monday,Cheese & Pickle Toastie,4.0,1.0,7.0
2025-03-25,Tuesday,Cheese & Pickle Toastie,4.0,1.0,7.0
2025-03-26,Wednesday,Cheese & Pickle Toastie,4.0,2.0,7.0
2025-03-27,Thursday,Cheese & Pickle Toastie,6.0,3.0,9.0
2025-03-21,Friday,Cinnamon Roll,4.0,2.0,6.0
2025-03-22,Saturday,Cinnamon Roll,3.0,2.0,5.0
2025-03-23,Sunday,Cinnamon Roll,3.0,1.0,5.0
2025-03-24,Monday,Cinnamon Roll,4.0,2.0,6.0
2025-03-25,Tuesday,Cinnamon Roll,3.0,1.0,5.0
2025-03-26,Wednesday,Cinnamon Roll,4.0,2.0,6.0
2025-03-27,Thursday,Cinnamon Roll,4.0,2.0,5.0
2025-03-21,Friday,Coke,2.0,0.0,2.0
2025-03-22,Saturday,Coke,2.0,1.0,3.0
2025-03-23,Sunday,Coke,1.0,0.0,2.0
2025-03-24,Monday,Coke,2.0,1.0,3.0
2025-03-25,Tuesday,Coke,1.0,-0.0,2.0
2025-03-26,Wednesday,Coke,2.0,1.0,3.0
2025-03-27,Thursday,Coke,1.0,-0.0,2.0
2025-03-21,Friday,Coronation Chicken bun,3.0,2.0,4.0
2025-03-22,Saturday,Coronation Chicken bun,2.0,1.0,3.0
2025-03-23,Sunday,Coronation Chicken bun,2.0,1.0,3.0
2025-03-24,Monday,Coronation Chicken bun,2.0,1.0,3.0
2025-03-25,Tuesday,Coronation Chicken bun,2.0,2.0,3.0
2025-03-26,Wednesday,Coronation Chicken bun,2.0,1.0,3.0
2025-03-27,Thursday,Coronation Chicken bun,3.0,2.0,3.0
2025-03-21,Friday,Cortado,2.0,1.0,2.0
2025-03-22,Saturday,Cortado,1.0,0.0,2.0
2025-03-23,Sunday,Cortado,2.0,1.0,3.0
2025-03-24,Monday,Cortado,1.0,1.0,2.0
2025-03-25,Tuesday,Cortado,2.0,1.0,3.0
2025-03-26,Wednesday,Cortado,2.0,1.0,3.0
2025-03-27,Thursday,Cortado,1.0,0.0,2.0
2025-03-21,Friday,Croissant,3.0,2.0,4.0
2025-03-22,Saturday,Croissant,3.0,2.0,5.0
2025-03-23,Sunday,Croissant,3.0,1.0,4.0
2025-03-24,Monday,Croissant,3.0,2.0,4.0
2025-03-25,Tuesday,Croissant,3.0,2.0,4.0
2025-03-26,Wednesday,Croissant,3.0,2.0,4.0
2025-03-27,Thursday,Croissant,3.0,1.0,4.0
2025-03-21,Friday,Decaf Tea,2.0,0.0,4.0
2025-03-22,Saturday,Decaf Tea,3.0,1.0,5.0
2025-03-23,Sunday,Decaf Tea,1.0,-1.0,3.0
2025-03-24,Monday,Decaf Tea,1.0,-1.0,3.0
2025-03-25,Tuesday,Decaf Tea,1.0,-0.0,3.0
2025-03-26,Wednesday,Decaf Tea,2.0,0.0,4.0
2025-03-27,Thursday,Decaf Tea,1.0,-1.0,3.0
2025-03-21,Friday,Diet Coke,3.0,1.0,4.0
2025-03-22,Saturday,Diet Coke,3.0,1.0,4.0
2025-03-23,Sunday,Diet Coke,2.0,1.0,3.0
2025-03-24,Monday,Diet Coke,2.0,1.0,4.0
2025-03-25,Tuesday,Diet Coke,3.0,2.0,4.0
2025-03-26,Wednesday,Diet Coke,2.0,1.0,4.0
2025-03-27,Thursday,Diet Coke,3.0,2.0,4.0
2025-03-21,Friday,Dirty Chai,3.0,2.0,3.0
2025-03-22,Saturday,Dirty Chai,2.0,1.0,2.0
2025-03-23,Sunday,Dirty Chai,2.0,2.0,3.0
2025-03-24,Monday,Dirty Chai,1.0,0.0,2.0
2025-03-25,Tuesday,Dirty Chai,1.0,-0.0,1.0
2025-03-26,Wednesday,Dirty Chai,2.0,2.0,3.0
2025-03-27,Thursday,Dirty Chai,2.0,1.0,3.0
2025-03-21,Friday,Doughnut Brownie,3.0,2.0,4.0
2025-03-22,Saturday,Doughnut Brownie,3.0,2.0,4.0
2025-03-23,Sunday,Doughnut Brownie,3.0,2.0,4.0
2025-03-24,Monday,Doughnut Brownie,3.0,2.0,5.0
2025-03-25,Tuesday,Doughnut Brownie,2.0,1.0,4.0
2025-03-26,Wednesday,Doughnut Brownie,2.0,1.0,4.0
2025-03-27,Thursday,Doughnut Brownie,3.0,1.0,4.0
2025-03-21,Friday,Doughnut Honeycomb,3.0,2.0,5.0
2025-03-22,Saturday,Doughnut Honeycomb,4.0,2.0,5.0
