Next Week,Weekday,Item Name,Forecast,Forecast Lower,Forecast Upper
2025-03-21,Friday,Almond Croissant,5.0,3.0,6.0
2025-03-22,Saturday,Almond Croissant,5.0,3.0,6.0
2025-03-23,Sunday,Almond Croissant,5.0,3.0,6.0
2025-03-24,Monday,Almond Croissant,5.0,4.0,7.0
2025-03-25,Tuesday,Almond Croissant,5.0,3.0,7.0
2025-03-26,Wednesday,Almond Croissant,5.0,4.0,7.0
2025-03-27,Thursday,Almond Croissant,5.0,4.0,7.0
2025-03-21,Friday,Americano,6.0,3.0,8.0
2025-03-22,Saturday,Americano,6.0,3.0,9.0
2025-03-23,Sunday,Americano,6.0,3.0,8.0
2025-03-24,Monday,Americano,6.0,3.0,9.0
2025-03-25,Tuesday,Americano,6.0,3.0,8.0
2025-03-26,Wednesday,Americano,6.0,3.0,8.0
2025-03-27,Thursday,Americano,6.0,3.0,8.0
2025-03-21,Friday,Apple Juice,1.0,0.0,2.0
2025-03-22,Saturday,Apple Juice,1.0,0.0,2.0
2025-03-23,Sunday,Apple Juice,1.0,0.0,2.0
2025-03-24,Monday,Apple Juice,1.0,0.0,2.0
2025-03-25,Tuesday,Apple Juice,1.0,0.0,1.0
2025-03-26,Wednesday,Apple Juice,1.0,0.0,1.0
2025-03-27,Thursday,Apple Juice,1.0,0.0,1.0
2025-03-21,Friday,Avo on toast,-0.0,-1.0,1.0
2025-03-22,Saturday,Avo on toast,-0.0,-1.0,1.0
2025-03-23,Sunday,Avo on toast,-0.0,-1.0,1.0
2025-03-24,Monday,Avo on toast,-0.0,-1.0,0.0
2025-03-25,Tuesday,Avo on toast,-0.0,-1.0,0.0
2025-03-26,Wednesday,Avo on toast,-0.0,-1.0,0.0
2025-03-27,Thursday,Avo on toast,-1.0,-1.0,0.0
2025-03-21,Friday,Babyccino,3.0,-1.0,8.0
2025-03-22,Saturday,Babyccino,3.0,-2.0,7.0
2025-03-23,Sunday,Babyccino,3.0,-2.0,7.0
2025-03-24,Monday,Babyccino,2.0,-2.0,7.0
2025-03-25,Tuesday,Babyccino,2.0,-2.0,6.0
2025-03-26,Wednesday,Babyccino,2.0,-3.0,6.0
2025-03-27,Thursday,Babyccino,1.0,-3.0,6.0
2025-03-21,Friday,Bakewell,0.0,-1.0,1.0
2025-03-22,Saturday,Bakewell,-0.0,-1.0,1.0
2025-03-23,Sunday,Bakewell,-0.0,-1.0,1.0
2025-03-24,Monday,Bakewell,-0.0,-1.0,0.0
2025-03-25,Tuesday,Bakewell,-0.0,-1.0,0.0
2025-03-26,Wednesday,Bakewell,-0.0,-1.0,0.0
2025-03-27,Thursday,Bakewell,-1.0,-1.0,0.0
2025-03-21,Friday,Beetroot hummus and roasted veggies Focaccia,2.0,2.0,3.0
2025-03-22,Saturday,Beetroot hummus and roasted veggies Focaccia,2.0,2.0,3.0
2025-03-23,Sunday,Beetroot hummus and roasted veggies Focaccia,3.0,2.0,3.0
2025-03-24,Monday,Beetroot hummus and roasted veggies Focaccia,3.0,2.0,3.0
2025-03-25,Tuesday,Beetroot hummus and roasted veggies Focaccia,3.0,2.0,3.0
2025-03-26,Wednesday,Beetroot hummus and roasted veggies Focaccia,3.0,2.0,3.0
2025-03-27,Thursday,Beetroot hummus and roasted veggies Focaccia,3.0,2.0,3.0
2025-03-21,Friday,Brownie,0.0,-1.0,1.0
2025-03-22,Saturday,Brownie,0.0,-1.0,1.0
2025-03-23,Sunday,Brownie,-0.0,-1.0,1.0
2025-03-24,Monday,Brownie,-0.0,-1.0,1.0
2025-03-25,Tuesday,Brownie,-0.0,-1.0,1.0
2025-03-26,Wednesday,Brownie,-0.0,-1.0,1.0
2025-03-27,Thursday,Brownie,-0.0,-1.0,0.0
2025-03-21,Friday,Cappuccino,6.0,3.0,9.0
2025-03-22,Saturday,Cappuccino,6.0,3.0,9.0
2025-03-23,Sunday,Cappuccino,6.0,3.0,9.0
2025-03-24,Monday,Cappuccino,6.0,3.0,9.0
2025-03-25,Tuesday,Cappuccino,6.0,3.0,9.0
2025-03-26,Wednesday,Cappuccino,6.0,3.0,9.0
2025-03-27,Thursday,Cappuccino,6.0,3.0,9.0
2025-03-21,Friday,Carrot Cake,-1.0,-2.0,-0.0
2025-03-22,Saturday,Carrot Cake,-1.0,-2.0,-0.0
2025-03-23,Sunday,Carrot Cake,-1.0,-2.0,-0.0
2025-03-24,Monday,Carrot Cake,-2.0,-3.0,-0.0
2025-03-25,Tuesday,Carrot Cake,-2.0,-3.0,-1.0
2025-03-26,Wednesday,Carrot Cake,-2.0,-3.0,-1.0
2025-03-27,Thursday,Carrot Cake,-2.0,-3.0,-1.0
2025-03-21,Friday,Chai Latte,-0.0,-2.0,1.0
2025-03-22,Saturday,Chai Latte,-0.0,-2.0,1.0
2025-03-23,Sunday,Chai Latte,-1.0,-2.0,1.0
2025-03-24,Monday,Chai Latte,-1.0,-2.0,0.0
2025-03-25,Tuesday,Chai Latte,-1.0,-2.0,0.0
2025-03-26,Wednesday,Chai Latte,-1.0,-2.0,0.0
2025-03-27,Thursday,Chai Latte,-1.0,-2.0,0.0
2025-03-21,Friday,Cheese & Ham Toastie,4.0,3.0,4.0
2025-03-22,Saturday,Cheese & Ham Toastie,4.0,3.0,5.0
2025-03-23,Sunday,Cheese & Ham Toastie,4.0,3.0,5.0
2025-03-24,Monday,Cheese & Ham Toastie,4.0,3.0,5.0
2025-03-25,Tuesday,Cheese & Ham Toastie,4.0,3.0,5.0
2025-03-26,Wednesday,Cheese & Ham Toastie,4.0,3.0,5.0
2025-03-27,Thursday,Cheese & Ham Toastie,4.0,3.0,5.0
2025-03-21,Friday,Cheese & Pickle Toastie,1.0,1.0,2.0
2025-03-22,Saturday,Cheese & Pickle Toastie,1.0,1.0,2.0
2025-03-23,Sunday,Cheese & Pickle Toastie,1.0,1.0,2.0
2025-03-24,Monday,Cheese & Pickle Toastie,1.0,1.0,2.0
2025-03-25,Tuesday,Cheese & Pickle Toastie,1.0,1.0,2.0
2025-03-26,Wednesday,Cheese & Pickle Toastie,1.0,1.0,2.0
2025-03-27,Thursday,Cheese & Pickle Toastie,1.0,1.0,2.0
2025-03-21,Friday,Cinnamon Roll,4.0,2.0,6.0
2025-03-22,Saturday,Cinnamon Roll,4.0,2.0,6.0
2025-03-23,Sunday,Cinnamon Roll,4.0,2.0,6.0
2025-03-24,Monday,Cinnamon Roll,4.0,2.0,6.0
2025-03-25,Tuesday,Cinnamon Roll,4.0,2.0,6.0
2025-03-26,Wednesday,Cinnamon Roll,4.0,2.0,6.0
2025-03-27,Thursday,Cinnamon Roll,4.0,2.0,6.0
2025-03-21,Friday,Coke,1.0,0.0,2.0
2025-03-22,Saturday,Coke,1.0,0.0,2.0
2025-03-23,Sunday,Coke,1.0,0.0,1.0
2025-03-24,Monday,Coke,1.0,0.0,1.0
2025-03-25,Tuesday,Coke,1.0,0.0,1.0
2025-03-26,Wednesday,Coke,1.0,0.0,2.0
2025-03-27,Thursday,Coke,1.0,0.0,1.0
2025-03-21,Friday,Cold milk - glass,3.0,3.0,3.0
2025-03-22,Saturday,Cold milk - glass,3.0,3.0,4.0
2025-03-23,Sunday,Cold milk - glass,3.0,3.0,4.0
2025-03-24,Monday,Cold milk - glass,3.0,3.0,4.0
2025-03-25,Tuesday,Cold milk - glass,3.0,3.0,4.0
2025-03-26,Wednesday,Cold milk - glass,4.0,3.0,4.0
2025-03-27,Thursday,Cold milk - glass,4.0,3.0,4.0
2025-03-21,Friday,Coronation Chicken bun,1.0,0.0,1.0
2025-03-22,Saturday,Coronation Chicken bun,1.0,0.0,1.0
2025-03-23,Sunday,Coronation Chicken bun,1.0,0.0,1.0
2025-03-24,Monday,Coronation Chicken bun,1.0,0.0,1.0
2025-03-25,Tuesday,Coronation Chicken bun,1.0,0.0,1.0
2025-03-26,Wednesday,Coronation Chicken bun,1.0,0.0,1.0
2025-03-27,Thursday,Coronation Chicken bun,1.0,0.0,1.0
2025-03-21,Friday,Cortado,1.0,-0.0,2.0
2025-03-22,Saturday,Cortado,1.0,-0.0,2.0
2025-03-23,Sunday,Cortado,1.0,-1.0,2.0
2025-03-24,Monday,Cortado,1.0,-0.0,2.0
2025-03-25,Tuesday,Cortado,1.0,-1.0,2.0
2025-03-26,Wednesday,Cortado,1.0,-1.0,2.0
2025-03-27,Thursday,Cortado,1.0,-1.0,2.0
2025-03-21,Friday,Croissant,1.0,-1.0,3.0
2025-03-22,Saturday,Croissant,1.0,-1.0,3.0
2025-03-23,Sunday,Croissant,1.0,-1.0,3.0
2025-03-24,Monday,Croissant,1.0,-1.0,3.0
2025-03-25,Tuesday,Croissant,1.0,-1.0,3.0
2025-03-26,Wednesday,Croissant,1.0,-1.0,2.0
2025-03-27,Thursday,Croissant,0.0,-1.0,2.0
2025-03-21,Friday,Decaf Tea,1.0,1.0,2.0
2025-03-22,Saturday,Decaf Tea,1.0,1.0,2.0
