Next Week,Weekday,Item Name,Forecast,Forecast Lower,Forecast Upper
2025-03-21,Friday,Baba Ganoush Focaccia,2.0,0.0,4.0
2025-03-22,Saturday,Baba Ganoush Focaccia,2.0,1.0,4.0
2025-03-23,Sunday,Baba Ganoush Focaccia,2.0,1.0,4.0
2025-03-24,Monday,Baba Ganoush Focaccia,2.0,-0.0,3.0
2025-03-25,Tuesday,Baba Ganoush Focaccia,1.0,-1.0,2.0
2025-03-26,Wednesday,Baba Ganoush Focaccia,1.0,-1.0,3.0
2025-03-27,Thursday,Baba Ganoush Focaccia,2.0,0.0,3.0
2025-03-21,Friday,Bacon Bap,1.0,-0.0,2.0
2025-03-22,Saturday,Bacon Bap,0.0,-0.0,1.0
2025-03-23,Sunday,Bacon Bap,-0.0,-1.0,1.0
2025-03-24,Monday,Bacon Bap,-0.0,-1.0,1.0
2025-03-25,Tuesday,Bacon Bap,-0.0,-1.0,1.0
2025-03-26,Wednesday,Bacon Bap,0.0,-0.0,1.0
2025-03-27,Thursday,Bacon Bap,1.0,-0.0,2.0
2025-03-21,Friday,Bacon bap & 1 fried egg,1.0,1.0,1.0
2025-03-22,Saturday,Bacon bap & 1 fried egg,1.0,1.0,1.0
2025-03-23,Sunday,Bacon bap & 1 fried egg,1.0,1.0,1.0
2025-03-24,Monday,Bacon bap & 1 fried egg,1.0,1.0,1.0
2025-03-25,Tuesday,Bacon bap & 1 fried egg,1.0,1.0,1.0
2025-03-26,Wednesday,Bacon bap & 1 fried egg,1.0,1.0,1.0
2025-03-27,Thursday,Bacon bap & 1 fried egg,1.0,1.0,1.0
2025-03-21,Friday,Beetroot hummus and roasted veggies Focaccia,3.0,1.0,4.0
2025-03-22,Saturday,Beetroot hummus and roasted veggies Focaccia,3.0,1.0,4.0
2025-03-23,Sunday,Beetroot hummus and roasted veggies Focaccia,3.0,2.0,4.0
2025-03-24,Monday,Beetroot hummus and roasted veggies Focaccia,2.0,1.0,3.0
2025-03-25,Tuesday,Beetroot hummus and roasted veggies Focaccia,2.0,1.0,3.0
2025-03-26,Wednesday,Beetroot hummus and roasted veggies Focaccia,2.0,1.0,3.0
2025-03-27,Thursday,Beetroot hummus and roasted veggies Focaccia,2.0,1.0,4.0
2025-03-21,Friday,Cheese & Ham Toastie,3.0,1.0,5.0
2025-03-22,Saturday,Cheese & Ham Toastie,3.0,1.0,5.0
2025-03-23,Sunday,Cheese & Ham Toastie,3.0,1.0,5.0
2025-03-24,Monday,Cheese & Ham Toastie,3.0,1.0,5.0
2025-03-25,Tuesday,Cheese & Ham Toastie,2.0,0.0,5.0
2025-03-26,Wednesday,Cheese & Ham Toastie,2.0,0.0,4.0
2025-03-27,Thursday,Cheese & Ham Toastie,3.0,1.0,5.0
2025-03-21,Friday,Cheese & Pickle Toastie,2.0,1.0,4.0
2025-03-22,Saturday,Cheese & Pickle Toastie,3.0,1.0,4.0
2025-03-23,Sunday,Cheese & Pickle Toastie,2.0,1.0,4.0
2025-03-24,Monday,Cheese & Pickle Toastie,2.0,1.0,4.0
2025-03-25,Tuesday,Cheese & Pickle Toastie,2.0,0.0,3.0
2025-03-26,Wednesday,Cheese & Pickle Toastie,2.0,1.0,3.0
2025-03-27,Thursday,Cheese & Pickle Toastie,2.0,0.0,3.0
2025-03-21,Friday,Coronation Chicken bun,3.0,1.0,4.0
2025-03-22,Saturday,Coronation Chicken bun,3.0,1.0,4.0
2025-03-23,Sunday,Coronation Chicken bun,2.0,1.0,4.0
2025-03-24,Monday,Coronation Chicken bun,2.0,1.0,3.0
